City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Meadow Lake,US,34.8014,-106.5436,74.17,25,0,5.77,clear sky
314,Longyearbyen,SJ,78.2186,15.6401,16.99,83,42,4.12,scattered clouds
315,Tuatapere,NZ,-46.1333,167.6833,48.27,84,53,8.25,broken clouds
316,Itoman,JP,26.1247,127.6694,73.47,68,7,10.16,clear sky
317,Denpasar,ID,-8.65,115.2167,77.5,88,99,2.77,overcast clouds
318,Marrakesh,MA,31.6315,-8.0083,75.72,26,6,11.52,clear sky
319,Wiesmoor,DE,53.4167,7.7333,54.86,85,100,15.57,overcast clouds
320,Phan Thiet,VN,10.9333,108.1,77.05,89,34,7.78,scattered clouds
321,Juegang,CN,32.3174,121.1855,60.91,85,1,3.22,light rain
322,Progreso,MX,21.2833,-89.6667,86.11,50,11,11.41,few clouds
323,Kalmunai,LK,7.4167,81.8167,78.21,88,80,7.29,broken clouds
324,Caravelas,BR,-17.7125,-39.2481,79.74,69,76,9.73,broken clouds
325,Talnakh,RU,69.4865,88.3972,17.1,96,100,1.74,light snow
326,Severodvinsk,RU,64.5635,39.8302,42.17,97,100,9.04,overcast clouds
327,Ahuimanu,US,21.4447,-157.8378,79.79,72,20,0.0,few clouds
328,Parainen,FI,60.3067,22.301,49.14,93,60,11.32,broken clouds
329,Wewak,PG,-3.5534,143.6268,79.65,84,59,4.29,broken clouds
330,Faanui,PF,-16.4833,-151.75,78.35,68,20,17.34,few clouds
331,Palu,ID,-0.8917,119.8707,74.62,96,97,2.15,heavy intensity rain
332,Necochea,AR,-38.5473,-58.7368,61.03,69,76,23.53,moderate rain
333,Andra,RU,62.5147,65.8878,10.85,94,42,3.02,scattered clouds
334,Barrow,US,71.2906,-156.7887,15.82,79,90,3.44,overcast clouds
335,Qasigiannguit,GL,68.8193,-51.1922,29.46,86,100,6.06,overcast clouds
336,Ketchikan,US,55.3422,-131.6461,41.25,94,100,3.33,overcast clouds
337,Bireun,ID,5.203,96.7009,78.28,84,90,2.08,overcast clouds
338,Teguise,ES,29.0605,-13.564,70.02,64,0,12.66,clear sky
339,Ploemeur,FR,47.7333,-3.4333,58.82,83,100,5.99,overcast clouds
340,Republic,US,37.12,-93.4802,59.99,72,25,1.01,scattered clouds
341,Muros,ES,42.7762,-9.0603,63.86,89,100,14.74,light rain
342,Romitan,UZ,39.9343,64.3814,54.16,44,96,8.28,overcast clouds
343,Rockland,US,41.1668,-74.0496,65.79,71,77,11.43,broken clouds
